location_id,latitude,longitude,grid_lat_idx,grid_lon_idx,childcare_count,public_transport_count,hospitals_count,universities_count,pubs_count,childcare_density,public_transport_density,hospitals_density,universities_density,pubs_density,amenity_index,amenity_index_scaled
BLR_0_0,12.825000000000001,77.42500000000001,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_0_1,12.825000000000001,77.47500000000001,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_0_2,12.825000000000001,77.525,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_0_3,12.825000000000001,77.575,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_0_4,12.825000000000001,77.625,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_0_5,12.825000000000001,77.675,0,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_0_6,12.825000000000001,77.725,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_0_7,12.825000000000001,77.77499999999999,0,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_1_0,12.875000000000002,77.42500000000001,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_1_1,12.875000000000002,77.47500000000001,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_1_2,12.875000000000002,77.525,1,2,0,3,0,0,1,0.0,0.1061032953945969,0.0,0.0,0.0353677651315323,-0.1343297394469537,7.722070356157169
BLR_1_3,12.875000000000002,77.575,1,3,0,3,0,0,3,0.0,0.1061032953945969,0.0,0.0,0.1061032953945969,-0.1034996397146312,8.59350221215945
BLR_1_4,12.875000000000002,77.625,1,4,0,2,1,0,0,0.0,0.0707355302630646,0.0353677651315323,0.0,0.0,-0.19613468488710586,5.975115309541943
BLR_1_5,12.875000000000002,77.675,1,5,0,2,1,2,0,0.0,0.0707355302630646,0.0353677651315323,0.0707355302630646,0.0,0.12054009499483434,14.926124017837301
BLR_1_6,12.875000000000002,77.725,1,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_1_7,12.875000000000002,77.77499999999999,1,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_2_0,12.925000000000002,77.42500000000001,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_2_1,12.925000000000002,77.47500000000001,2,1,0,4,2,0,1,0.0,0.1414710605261292,0.0707355302630646,0.0,0.0353677651315323,0.030671995473709697,12.385946547085025
BLR_2_2,12.925000000000002,77.525,2,2,0,7,7,4,3,0.0,0.24757435592072607,0.24757435592072607,0.1414710605261292,0.1061032953945969,1.1503195799496786,44.033478701690335
BLR_2_3,12.925000000000002,77.575,2,3,0,11,25,2,14,0.0,0.3890454164468553,0.8841941282883075,0.0707355302630646,0.49514871184145215,2.058590086100407,69.7063068728315
BLR_2_4,12.925000000000002,77.625,2,4,3,6,10,3,44,0.1061032953945969,0.2122065907891938,0.35367765131532297,0.1061032953945969,1.5561816657874212,3.130340646902183,100.0
BLR_2_5,12.925000000000002,77.675,2,5,0,0,10,1,11,0.0,0.0,0.35367765131532297,0.0353677651315323,0.3890454164468553,0.315749420909225,20.443836469872785
BLR_2_6,12.925000000000002,77.725,2,6,0,1,1,0,1,0.0,0.0353677651315323,0.0353677651315323,0.0,0.0353677651315323,-0.2666468103771597,3.9820464281577403
BLR_2_7,12.925000000000002,77.77499999999999,2,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_3_0,12.975000000000003,77.42500000000001,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_3_1,12.975000000000003,77.47500000000001,3,1,0,0,1,0,0,0.0,0.0,0.0353677651315323,0.0,0.0,-0.36798903559953605,1.1175456907712564
BLR_3_2,12.975000000000003,77.525,3,2,0,4,7,1,1,0.0,0.1414710605261292,0.24757435592072607,0.0353677651315323,0.0353677651315323,0.38669578432580054,22.449179355088983
BLR_3_3,12.975000000000003,77.575,3,3,0,13,29,4,14,0.0,0.45978094670991987,1.0256651888144366,0.1414710605261292,0.49514871184145215,2.705268335823674,87.98506796298257
BLR_3_4,12.975000000000003,77.625,3,4,0,6,22,0,62,0.0,0.2122065907891938,0.7780908328937106,0.0,2.1928014381550023,1.9335899836664585,66.1731015893504
BLR_3_5,12.975000000000003,77.675,3,5,1,3,5,0,4,0.0353677651315323,0.1061032953945969,0.17683882565766149,0.0,0.1414710605261292,0.600820725192786,28.501553374510916
BLR_3_6,12.975000000000003,77.725,3,6,0,8,20,1,10,0.0,0.2829421210522584,0.7073553026306459,0.0353677651315323,0.35367765131532297,1.383124571715026,50.61385592466695
BLR_3_7,12.975000000000003,77.77499999999999,3,7,0,3,2,0,2,0.0,0.1061032953945969,0.0707355302630646,0.0,0.0707355302630646,-0.03984013001634416,10.392877665700821
BLR_4_0,13.025000000000004,77.42500000000001,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_4_1,13.025000000000004,77.47500000000001,4,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_4_2,13.025000000000004,77.525,4,2,0,9,7,0,1,0.0,0.3183098861837907,0.24757435592072607,0.0,0.0353677651315323,0.6579942711659058,30.11759904786802
BLR_4_3,13.025000000000004,77.575,4,3,0,7,16,3,12,0.0,0.24757435592072607,0.5658842421045168,0.1061032953945969,0.4244131815783876,1.486553156844177,53.537328916494225
BLR_4_4,13.025000000000004,77.625,4,4,0,2,5,0,9,0.0,0.0707355302630646,0.17683882565766149,0.0,0.3183098861837907,0.10074988303724185,14.366741424637231
BLR_4_5,13.025000000000004,77.675,4,5,0,3,3,0,0,0.0,0.1061032953945969,0.1061032953945969,0.0,0.0,-0.03113294996644251,10.638991500469798
BLR_4_6,13.025000000000004,77.725,4,6,0,0,1,0,0,0.0,0.0,0.0353677651315323,0.0,0.0,-0.36798903559953605,1.1175456907712564
BLR_4_7,13.025000000000004,77.77499999999999,4,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_5_0,13.075000000000005,77.42500000000001,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_5_1,13.075000000000005,77.47500000000001,5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_5_2,13.075000000000005,77.525,5,2,0,1,3,0,0,0.0,0.0353677651315323,0.1061032953945969,0.0,0.0,-0.20298730067887272,5.78142188169911
BLR_5_3,13.075000000000005,77.575,5,3,1,0,9,1,7,0.0353677651315323,0.0,0.3183098861837907,0.0353677651315323,0.24757435592072607,0.7057708577924912,31.46803384759102
BLR_5_4,13.075000000000005,77.625,5,4,0,1,1,2,4,0.0,0.0353677651315323,0.0353677651315323,0.0707355302630646,0.1414710605261292,0.09627311910326422,14.24020292045652
BLR_5_5,13.075000000000005,77.675,5,5,0,0,0,0,3,0.0,0.0,0.0,0.0,0.1061032953945969,-0.36128116578327646,1.307147784003422
BLR_5_6,13.075000000000005,77.725,5,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_5_7,13.075000000000005,77.77499999999999,5,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_6_0,13.125000000000005,77.42500000000001,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_6_1,13.125000000000005,77.47500000000001,6,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_6_2,13.125000000000005,77.525,6,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_6_3,13.125000000000005,77.575,6,3,0,1,6,1,1,0.0,0.0353677651315323,0.2122065907891938,0.0353677651315323,0.0353677651315323,0.08937697847493109,14.045279236161699
BLR_6_4,13.125000000000005,77.625,6,4,0,0,1,1,0,0.0,0.0,0.0353677651315323,0.0353677651315323,0.0,-0.20965164565856592,5.593050044918937
BLR_6_5,13.125000000000005,77.675,6,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_6_6,13.125000000000005,77.725,6,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_6_7,13.125000000000005,77.77499999999999,6,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_7_0,13.175000000000006,77.42500000000001,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
BLR_7_1,13.175000000000006,77.47500000000001,7,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.4075263153817602,0.0
